Info,Anzahl
alt Chazenreüter,1
Hans Heirechen,1
verkündet am 26. August zu Stäfa,1
Michel Merchli,1
sesshaft zu Erlenbach,4
von Braunfels [ohne nähere Umschreibung],1
"verkündet 8. Juli
bapt. 6. Nov. [17]74""",1
b. d. 24. Jan. 1762,1
Matheus Äpli von Wezikon,1
Jacoben Sohn von Büsingen Löbl. Cantons Schaffhausen,1
Eintrag zwischen dem 9. August und 9. November,1
vom Verkündtag und von der Abfolge her muss es der 28. Sept. sein.,1
Rudis alt Ehgaumers Sohn,1
"Eltern: Felix Wäckerlig sel., Müller, und Susanna Pfister",1
"hat sich zu Muhen AG (""Muhen im Berner-Gebieht"") eingekauft",1
"""aus dem Mittleren Rebstahl""",1
Müller im Kloster Paradies,1
Seckelmeister allhier,1
"ab dem Hirzel gebürtig, sesshaft zu Uerikon",1
"mit Bewilligung des Vorsitzenden des Ehegerichts (""Perm. D. Praes. Consist."")",1
"""Text Ephes. V. 33.""",1
Herrn Schulthessen Sohn,1
Kleinuhrenmacher,2
Leh Heiris,1
uf Ißleren,1
Neuburger zu Stadel,1
der Krämer und tt. Ehegaumer,1
von Tegersheim im Toggenburg,1
von Linz,1
Eintrag nach dem 3. November,1
H. Symons,1
Haben sich in Zwillikon eingekauft.,1
"""von Schmidtfeld in Saxen""",1
Bapt. 19. Febr. [17]61,1
"""von Schams uß dem oberen Pundt""",1
"Holzforster (""Holzfoster"")",1
"Capitaine, habitant a Paris",1
us dem Türlen (?),1
Wirt zu Hombrechtikon,1
"""Praec. Cl. I. Carolinae""",1
Marx Halbheeren sel. Sohn,1
bapt. d. 5. Aug. 1736,1
B. den 23. 10bre 1725,1
"dritte Ehe (""3tio"")",3
"Hans Kaspar Kellers sel., gewesenen Kirchenpflegers ab Tannen, Sohn",1
bapt. d. 5. Aug. 1731,1
im Häüsli,2
"""ProbM.""",1
"Jörg, genannt ""Götz""",1
Sein Bruder Hans Felix Huber heiratet am gleichen Tag.,1
Schulmeister in Horben,1
"Hans Ulrichs Sohn ""auf der Duntelen""",1
Eltern: Heinrich Weilenmann und Susanna Rimensberger,1
Heinrichs,25
"mit Bewilligung des Ehegerichts (""FMP"")",1
"Sutoris filius et pro]. t[empore]. Kilchmeyer. ""Weil sie bald ein Kindbetherin sol werden, müßtend sie auch ohne Kranz und Schäppeli zur Kilchen gahn, und hab ich ihnen ihren Fehler ernstlich fürgehalten, so das es schelbe und naße Augen abgäben.""",1
"""a[b]. Kemterburg""",2
aus dem Bevölkerungsverzeichnis Flaach 1678 (S. 687) ergänzt,1
by den Nusbäumen,2
Küfer und Ziegler,1
"frater. Sein Bruder Hans Ulrich Wepfer heiratet eine Woche früher, am 17. Aug. 1756.",1
Lupfers,1
Frat[res.]. Sein Bruder Jakob Lang heiratet am gleichen Tag.,1
"Eltern: Heinrich Schuppisser, ""zStige"" [?], und Margaretha Schuppisser",1
sesshaft zu Esslingen,1
aus der Münz,1
"getraut zu Zürich beim Grossmünster (""nupt. in urbe in Templo Cath."")",2
"Keine Trauung. Eintrag mit der Bemerkung ""prohibit"" gestrichen. Trauung am 9. Mai mit Bewilligung des Ehegerichts vorgesehen.",1
Eingang des ehegerichtlichen Kopulationsscheins am 8. Juli,1
Ludwig Bala,1
aus dem Herenbergeramt,1
ex Hinderen Lüwiß,3
"""vom Schwanen""",1
b. Aug. 1760,1
Späterer Zusatz: obiit,1
verkündet 24. Febr. zu Wädenswil,1
Lienhard (YY 1 gibt Lienhard),1
obiger [Heinrich Briner] hat dem Kirchenpfleger nach sr. Bekantnus die 5 lb. bezalt.,1
"zweimal eingetragen, am 24. Juli und am 1. August",1
Steffan Göuschel,1
Müller zu Kappel,1
erwählter Pfarrer gen Grabs in Herrschaft Werdenberg,1
"mit Bewilligung des Rates (""permiss. ampl. Sen."")",1
"späte Trauung wegen Unvermögen, die Armatur anzuschaffen und der hiesigen Kirche die Praestanda zu leisten.",1
Herrschaftsweibel,1
Leohnhardt,1
getraut zu Eichberg,2
"der jung, des alten Mans s. Sohn",1
Johannes Schochen Sohn,1
Gerig Meili,1
"beide ""von Sellmatt""",1
"Hans Ulrich Windlers, Vogts, Sohn",1
Pfarrer von Wattwil,1
"von Girsberg (""Gyrsperg"")",1
b. 25. März 1717,1
Kilian Gedonius,1
"""Hans Jörg Hug""",1
die Sabb.,1
getraut zu Oetlishausen,3
frater. Sein Bruder Hans Jakob Gross heiratet gleichzeitig.,1
"""vertrapten sich mit früehzeitigem Byschlaff, waren v. H. Landtv. Bürckli gebüßt""",1
getraut zu Zürich. [Das Ehebuch Grossmünster gibt den 22. Aug.],1
Hans Schneiders Sohn,3
"beide ""ab dem Albis""",1
Wollenherr,1
der Jung Küffer,3
verkündet 22. Febr.,40
Nachtrag: Geschieden vor Ehegericht am 23. Jan. 1782,1
Lämle,1
Lehenbauer im Münchhof,1
"getraut zu Zürich (""Tiguri"")",165
"Hans Rudolf Rüeggen ""ins Baurenboden"" Sohn",1
ab dem Than,3
Eltern: Rudolf Erb von Oberwinterthur und Barbara Steiner von Seen,1
Schuhmacher Jos Wolfensbergers Sohn,1
"von ""Helfetschwil auß dem Toggenburg""",1
"getraut zu Seebach. ""NB. Habend sich niemalen bey dem Pfr. angemelt.""",1
uß der Graffschafft Schwabegg,1
Jakob Büchis sel. Sohn,2
"dient in der ""Neuwmülli""",1
getraut zu Seengen,27
"""Pfarr-Vicarius"" zu Berneck im Rheintal",1
"Zirkelschmied (""Circulschmid"")",1
ob'm Schloß,2
Hs. Ulrich Leonhard,1
getraut zu Zürich bei Sankt Peter (ohne Wissen des Wülflinger Pfarrers und somit ohne Empfehlungsschreiben an das Ehegericht,1
auf dem Hörnli,1
Dettenryedt uß der Graffschafft Kyburg,1
Sch[n]urrenberg,1
"getraut zu Urdorf. ""Den 28. Mart. auf Befehl der Obrigkeit, ohne vorhergegangne Promulgation, schleünig",1
Jeggli,1
Heinrich Hausers Sohn,2
gt. Heerenberger,1
"mit Bewilligung des Ehegerichtes [YY 1.232, S. 159 (11. Apr. 1741): ""Mauritz Krauth"" erhält wegen seiner guten Zeugnisse die Bewilligung, sich in Wetzikon trauen zu lassen. Unehelich geboren (spurius)",1
Bapt. 11. 9br. [17]50,1
Nachtrag: + 1832,2
mit Erlaubnis des Embracher Pfarrers.,1
Wyckart,1
Hans Aberlis Sohn,1
"Müller, darüber Meier",1
Peter Heirechen,1
getraut zu Baldingen,1
Gschwornenpfleger,1
auf Herrn Amtmann Spöndlis Lehen,1
N. 22. Jul. 1759,1
Küefers,2
"am Roßwëg, in der Wacht Adlischw.",1
David in der Mauer v. Bernegg,1
b. d. 31. May 1733,1
uß dem Urfal,3
nat. 24. Aug. 1749,2
Schufelberg,2
"""Paraphizin""",1
Herr Untervogt und Leutnant zu Pferd,1
Herr [Familienname Musculus oder Müslin],1
getraut zu Seebach im Dezember,1
Anthony Burry,1
Nachtrag: + 1838,1
"viduus. Wurden mit Bewilligung des Ehegerichts wegen der besonderen Umstände des Hochzeiters im Haus in Gegenwart von zwei Stillständern getraut. Der Pfarrer hielt vor der Trauung ""eine kurze Rede über Gen. 2:18."".",1
nat. 28. Jan. 1753,2
"von hier, sesshaft zu Hausen",1
Batten Heinrichen,1
Hans Rudi Joglis,1
Hans Jakob Bossharden sel. Sohn,1
Ludwigs sel. lediger Sohn,1
"nat. 1771, 20. May",1
"Alten Beken sel. Sohnssohn, Schlipf. von Undalen",1
Leut. sel. Sohn,1
"Proselyt, aus ""Pündten"". ""NB. Sie sind seßhaft zu Humliken. Vid. sein Alter Taufbuch Humliken 1704.""",1
"getraut zu Zürich bei Sankt Peter (""copulati Tiguri in eccle. Petr."")",1
Müller Hans Jac.,1
Mülli Krah,1
bapt. 10. April 1774,1
Jageli Volleweider Pohli,1
Soldat und Schuhmacher,1
b. 7. Jun. 1745,1
Witwer und Eisenhändler,1
nat. 6. März 1718,1
aet. 58,12
aet. 59,2
"Mr., Schuhmacher,",1
aet. 54,6
aet. 55,5
aet. 56,9
aet. 57,7
aet. 50,16
aet. 51,4
aet. 52,10
aet. 53,8
Maurer Hanslis,1
"Jakob Kuhnen, Küfers, Sohn",1
Botten Tischmachers,1
"""Alex. Sohn""",1
Melchiors sel. Sohn. Diese haben sich zuvor in Unzucht miteinander vergangen.,1
Hans Kleiners Sohn,3
verkündet 9. Sept.,55
v. Hof der Pfarr Wigoldingen,1
Hanß Ruedis Sohn bim Bach,1
"aus dem Girenbad, wohnhaft in Hutzikon",1
Köllikon,1
"Hans Konrad Wartmanns, Müllers zu Müllheim, Sohn",1
Bleistiftnachtrag: + 11. Dez. 1837,1
Köhler zu Wirzwil. Bemerkung.,1
Trauung am 13. Dezember 1791 vorgesehen,1
Test. D. Wyssius Abbatiss.,1
"Schulmeister Hans Heinrichen, Kirchenpflegers, Sohn",1
bapt. den 18. Aprill 1751,1
Besler,1
Heinrich Gassmanns Sohn,1
"""Rud. seel.""",2
bapt. 16. Jun. st. v. 1700,1
Hans Bur Engelberger,1
"""Burger""",1
"""Licentiat. Medicinae""",1
"secundo (""2do"")",1
bapt. d. 3. Xbr. 1724,1
gnt.Geren-Melcher,1
Jakob Kägis sel. Sohn,2
N. 21. Dec. 1766,2
getraut zu Büsingen,15
"Bürger von Zürich (""civ. Tig."")",1
Pfarrer auf Aeugst,1
Messerschmiedgeselle,1
zur Eich,2
"Sohn des Ortspfarrers (""filius m[eus]"")",1
Willa,1
neu erwählter Pfarrer nach Greifensee,1
[bapt.] 30. April 1724,1
vide 1777 et 1779,1
aet. 42 Jahre,1
"spurius (""Spur."")",1
b. 25. Febr. 1731,1
getraut beim Fraumünster,1
"geschieden (""abgesch."")",2
Die erstere [Trauung] nach etl. Wochen.,1
Buchs us dem Gstyfft Würtzburg,1
Heerenberger,1
ab dem Wylhoff,1
"Adjutant, filius Hrn. Underv.""",1
Rütti Hansen Sohn,1
Felix Schochen Sohn,1
Läser,1
Hs. Jac.,2
Bur auff des Bläsis-Hof,1
under der Kirchen,1
aus dem Hof Fischenthal,3
Hans Marti Ritters Sohn,1
Hin,3
Hans Wëber Frënkly. Ganzer Eintrag unterstrichen.,1
"""im Lindenhoof""",1
"der Viduae, Schwäzerin, aeltester Sohn",1
von Vaingen an der Inz,1
"""de Marito vid. Ehe-Buch A°. 1782 et Todenbuch, A°. 1792, 3. Febr.""",1
Moschg,1
Diakon zu Predigern,1
"""H. Augustin Talp""",1
b. 7. März 1775,1
Käggi,1
"mit Dispensation des Bürgermeisters (""Ampliss. cons. disp."")",1
"""H. Mathis Bodmer""",1
"Heinrich Ernsten, Richters und ""alt Zehndenknechts"", Sohn",1
"""Korolus Ferdinand""",1
des Heinis im Oberthal,1
"Nachtrag: ""Mort. den 1. Mart. 1784.""",1
alten Ehgaumers Sohn,3
mit Bewilligung des Pfarrers zum Grossmünster und der Gemeinde Zollikon,1
Kleinhans Dünkis sel. Sohn,1
geb. 1759,1
Andreß Ackerman von Stein,1
permittente Magistratu,1
Labhart,1
"Herr (""H Caspar Körner""), vielleicht auch als Hans Kaspar zu deuten.",1
geb. 1753,1
"""Këhlhofer""",1
"Mr., Obertorwächter",1
geb. 1754,1
Gerichtsvogt der Herrschaft Wellenberg,1
ab Butenau der Pfar Kilchberg,1
Junghansen Thislis,1
"Kronenwirt in Sihlbrugg (""Kronenwirth an der Bruk"")",1
Chilio,2
"""H. Rudolf Schön""",1
"Andreas Girardon, uß dem Veltlyn",1
aus der Eglen der Pfr. Bäretschwyl,1
Schweikh.,1
Hans Görg Wies,1
Hans Ulrich Morfen Sohn,1
Brupach,1
"Conrad Paur, Schmid, von Rafts, der hier die Schmitten im Feürthal bestanden.",1
"v. Wyningen, Pf. Pfyn",1
"""Fridlis sel. Sohn""",1
Conradi sutoris filius,1
b. 14. Jul. 1748,1
"Beck (""Bek"")",2
aus Zürich gebürtige Ehrenpersonen,1
"im dritten Grad verwandt, mit Bewilligung des Rates (""3 gr. perm. ampl. Mag."")",1
Ohrschwand,5
getraut von Pfarrer Ulrich von Uitikon,1
n. 25. Dez. 1753,1
Thewes Feer,1
"[bapt.] 1746, d. 13. Mart.",1
von Unterlunnern der Pfarr Ottenbach,1
Müller allhier,3
auß dem Hinderberg,1
"zweimal nacheinander eingetragen, mit Daten 3. Jan. und 12. Jan.",1
b. d. 28. Apr. 1771,1
"ohne Kranz und Schäppeli, laut ehegerichtlichen Scheins",2
Nachtrag: + Zürich 23.3.1826 (begr. 27.3.),1
"Wegzug im Sept. 1744 nach Bertschikon (Gossau). ""Ziehen im Sept. 1744 gen Bertschikon der Gemeind Grüningen u. lassen sich daselbst hausheblich nider.""",1
"""Bölis""",1
neu erwählter Pfarrer allhier [zu Altstetten],1
"""H. Heinrich Tomman""",1
"aet. 48, viduus",1
b. d. 30. Mrz. 1766,1
"getraut zu Muttenz (""Muttenz bey Basel"")",1
Hr. Häginger,1
(an der Steig),1
"getraut zu Küsnacht ""Morgens à 6 Uhr ganz in der Stille, in Gegenwart 3 Vorgesezter""",1
"Herrn Leutnant Samuel Toblers von Gottlieben, Verburgerten in hier, lediger Sohn",1
Briemsen,2
Safid,1
"ußm Thal. Promulgiert 1. und 8. November. Bickel will sich im Kilchberger Kilchgang haushablich setzen. Mit Vorbehalt, wenn er dort nicht geduldet werden möchte, man ihn im Tal wieder aufnehmen müsste.",1
"""auß der Schleipfi""",1
"Hansen (""Hsen"")",1
von Müllberg der Pfarr Embrach,1
cum dispens.,1
Patrouiller,1
im Suhner,1
im Brand,7
Felix sel.,2
"""in der Sängi""",1
Herrn Leutnant und Geschwornen Hans Kaspar Knechtlis Sohn,1
von Reüti uß der Gmeind Sommeri,1
Joseph Bollhalter von Hemberg auß dem Toggenburg,1
b. 26. 9br. 1755,1
ein Krämer,1
"genannt ""Schwytzer""",1
ußm Thal,1
Korber Hansen,1
Untervogts und gewesenen neapolitanischen Feldschärers Sohn,1
Baliß Sohn,1
"""prof. ling. gall.""",1
Neogami,9
Wirts sel.,2
bapt. d. 15. Mai. 1735,1
Hs. Geörg Kägis Sohn,1
Brysman,1
alt Dorfmeier und Richter,1
Hans Sidlers Sohn,2
in der Aueren,1
"auf Befehl des Ehegerichts (""jubente Foro Matrim."")",1
Witwer der Anna Keller,3
von Dachsleren der Pfarr Niederweningen,2
"getraut zu Zürich beim Grossmünster, um 6 Uhr (""h.m.6."")",1
bapt. den 9ten Febr. 1716,1
"""aus der HerrenSage""",1
"Mr., Wagner und Ehgaumer",1
20-jährig,1
beide verpfründet zu Sankt Jakob,1
"getraut zu Zürich ""zum Münster""",1
"beide ""von Langdorf, der Pfarr Frauenfeld""",1
bim Hauptmann,1
Hanß-Marti,1
mit Bewilligung von Pfarrer Weggler in Hirzel,1
Michel Iten,1
Jakob Ruppers Sohn,1
Commissarius,1
Batt Bleuwler,1
Tenicker,1
Horen Meyer,1
Rudolf Eberli aus dem Stalliker Tahl,1
Hänselis sel.,1
Georg Walch von Stäffelstorff,1
Unterschreiber zu Pfäffikon,1
"""obiit 16. Jan. 1735.""",1
"ab dem Beeberg, Pf. Turbenthal",1
suevus,2
B. 21. Febr. [17]62,1
"""R.""",1
"Vor dem Ehegericht abgestraft, zusammen erkannt und auf Anhalten Herrn Pfarrers von Seebach, weil dort während des Sommers keine Wochenpredigt stattfindet, in Russikon getraut.",1
"""aus der Enge beym steinernen Tische""",1
Finde Wiechßler,1
"im Closter, im Unter-Aügster-Thal",1
"genannt ""Gölli""",1
in der Oberdürnter Wacht,1
"Marxen seligen, vorigen Bruder",1
gewesener Pfarrer allhier [in Wollishofen] und erwählter Pfarrer nach Greifensee,1
der jüngste Maurer,1
Schnebeli,1
"Kaspar Bäumlers von ""Esch, der Pfarr Birmenstorf"", Lehenmanns auf dem Heitersberg, Sohn",1
"Nachtrag Ende Jahr: ""anfang des Jahrs"". Er hat sich im Hegi eingekauft ""u. zuvor in Zürich copuliert."" Eltern: Johannes Wiesendanger und Elisabeth Kleiner",1
Baschly Bachmann von Buch,1
getraut zu Zürich bei Sankt Peter (durch Diakon Fries),1
Gysin,1
bapt. d. 30. Mai. 1734,1
"""aus dem Würtenbergeschen Oberammt zu Tübingen""",1
B. d. 26. Ap. 1767,1
Hans Spalingers sel. Sohn,1
Uli Kimen (Akkusativ),1
aus der Schiffhüten,2
Conrath Welti von Cappel uß dem Toggenb.,1
Adjutant und Landrichter,1
Schuhmachers Sohn,17
"Herr Laurentz Tanner, Pfahrrer im Büler im Appenzellerland der außeren Roden",1
bapt. den 16. 9br. 1706,1
zu Dietikon,1
der junge Sattler,1
aus dem Boden der Pfarr Guttannen Lobl. Canton Bern,1
Langert,1
"vom Ehegericht zweimal abgewiesen, vom Rat erlaubt (300 Pfund Busse).",1
"""im Rohr in der Pfarr Horgen""",1
getraut zu Kiel (Nachtrag am Jahresende 1768),1
prokl. 27. Juli,1
getraut zu Zürich beim Grossmünster. Sein Bruder Salomon Leimbacher heiratet am 14. Dez. 1773.,1
Schnider,5
"uß der Pfarr Bärretschwyl. ""Suas hupt. celebrarunt Hinnwylae.""",1
Clinfelix,1
"""den 13. Febr. 1680""",1
Heinrich Eggers sel. Sohn,1
v. Under Rad,1
mit Bewilligung des Pfarrers von Maur,1
"""von Marburg",1
"getraut im Hirzel, zur gewohnten Stunde (""hor. solita"")",1
b. d. 25. Nov. 1759,1
Boxler,1
Ohne Kranz und Schäppeli kopuliert.,1
"""uff Bewilligung bestentheils vom Stilstand, nach etlichmahligem Zuruw Wisen""",1
Samson Wylers sel. Sohn,2
"Eberspach uß dem Wirtenberger Land. Ausführliche Bemerkung vom 22. Mai 1585 zur geplanten Ehe auf S. 56 (E III 33.1, S. 56).",1
"getraut zu Bümpliz (""zu Bümpliz, im Berngebiet, laut Scheins von Hrn. Samuel Suter, Pfr. daselbst, datiert den 27. Mey [17]64."")",1
Jean Daniel Le Fevre von Schwaabach,1
Schürmeier,1
"sesshaft zu Oberhöri ""der Pfr. Bülach""",1
in der Laubers-rüti,1
b. d. 1. Aug. 1756,1
"Trauung nach Geburt. ""Darauff Lisabetha untreuw worden und mit einem andern zugehalten, welches den Jacob abgeschreket. Jedoch entlich sein Wort gehalten, wyl eigentl. das Kind ihme gehörte.""",1
"Lehenmann in Oberstrass (""Lehenm. an der oberen Straß""",1
"b. 11. Januar 1756, ex. Ost. 1775",1
"Diges, ""quasi Deyis oder Matheus"" [späterer Zusatz]",1
Hanß Jörg Dikelman,1
"""ab dem Waltsperg""",1
undatierter Eintrag nach dem 19. Nov. [keine Trauung in Zürich eingetragen],1
b. 13. Martii 1735,1
"vide litterae pastorales, Pastore J. H. Meistero. Num. 238""",1
"""zu Richtenschw. bey der Kirche""",1
Uli Stäublis sel. Sohn,1
verkündet an einem Sonntag im Juli (am 2. oder 9. oder 16. Juli),1
"genannt ""Brüder""",2
getraut zu Herzogenbusch NL,1
Gräthis Jakoben,1
aus der Lachen der Pfarr We[ngi],1
"Er hat sich im Antworten auf das Befragen ""wol ghaltten"", sie hatte ein gutes Zeugnis von ihrem Pfarrer zu Dinhard.",1
Tischmacher. Sein Sohn Heinrich Mülli heiratet am folgenden Tag (13. Febr.) ihre Tochter Elisabeth Albrecht.,1
Seiz,5
Joß Trinckler,1
Ulrich Guten sel. Sohn,2
"""Pater"". Sein Sohn Johann Konrad Schweizer heiratet am gleichen Tag Anna Magdalena Burkhard.",1
"zu Schlatt [TG] getraut (""copulati Schlattae"")",2
Schärhanßen Sohn,1
zum Wilhelm Tell,2
Schützenmeister,79
"Maler, ""Düebeldorff""",1
Pfarrer zu Aawangen,3
Abrahams Sohn,1
Standfänderich,1
b. d. 2. Mai 1741,1
der For Rhoet. (?),1
[bapt.] 7. 8br. 1742,1
Brotvater im Spital,4
aus der Laubersrüti,1
Balthassar Boßler von Waldsee,1
"""genannt Schürli-Schneider""",1
auß dem H. B.,1
aus der unteren Mühle,2
wohnhaft in der Hügsam,1
"Zeichen beigefügt [Verweis auf die Taufe des Kindes Verena am 2. September 1688 (E III 36.1, S. 454)]",1
"""Christoffel von Ruffs""",1
Verkünddatum 29. Juli,1
mit Bewilligung des Weisslinger Pfarrers,1
Frater. Sein Bruder Jakob Nägeli heiratet am gleichen Tag.,1
Hans Jakoben Sohn,19
"ab dem Huggenberg, sesshaft zu Hottingen",1
"getraut wohl zu Wetzikon (""Nuptias celebrarunt in Kempten Tigurinorum"")",1
"""den 32."" November. Das Ehebuch Kilchberg gibt den 1. Dezember.",1
neu erwählter Pfarrer zu Pinache,1
Goris,66
"Mr., Weber (""textor"")",4
Müller in der Herzogenmühle,1
des Fendrichen,1
Vogt Heiris,1
Nour,1
Joggli Rothen,1
"""aufm Reihn""",2
Jo. Huld.,1
Quartierleutnant,1
Deyes Mathyß,1
Bapt. 19. Februar 1758,1
Pfarrer zu Dussnang,4
verkündet 31. Okt.,29
Kleinhans Rüeggen sel. Sohn,1
Kriegsmanhansen Sohn,1
von Ütiken,1
Pfründer,4
Rog. D. D. ad Pr.,2
getraut zu Siblingen (von Pfarrer Joh. Konrad Grimm),1
Schulm[eiste]r. Adjunctus,1
Ulis s.,1
SpöRudis Fil.,1
Hs. Walther,1
"späterer Zusatz: ""Diese Ehe ist zu Hottingen Burger.""",1
Fürpass,1
Krämer. Eintrag unter Uster,1
"mit Bewilligung des Ehegerichts
-",1
Zehndenreuter Heinrichen alt Ehgaumers Sohn,1
Martis Schneiders Hanß,1
Jakob Hirzels sel. Sohn,1
"""am Palmtag""",1
"Jakoben sel. Sohn (""Jacobi p. m. filius"")",1
"Ausführliche Bemerkung (sie war schwanger, vor Ehegericht zusammen erkannt, er lief davon).",1
der jüngere Zimmermann,1
Jacob Miliet von Galti Berner Biets,1
Kromer,2
"Montag, ""9. 9bris"" [recte 10. Nov.]",1
"getraut zu Altstetten. Erster Eintrag des Helfers Johann Kaspar Senn. Hans Rudolf von Lähr: ""Dieser hat vorgedachten Helffer in der Wahl genambset.""",1
"""Michel""",8
Hansen selligen,1
zu Flüh,1
Heinrich Tëgen von Liechstel,1
"mit Bewilligung des Ehegerichts (""f. M. P.""), getraut um 9 Uhr (""h. 9."")",1
im Furth,2
Jochen,2
"getraut zu Kirchberg (""Kilchberg im Thurgeü"")",1
von Coinsints im Canton Bern,1
Sixten sel.,1
"""im Tüffmas""",1
Eintrag unter dem Titel 1635. Von der Abfolge her muss es 1635 sein.,1
"Herr. Getraut von Herrn Hans Heinrich Lavater, Exspektant (""1. Petr. 1. 2. Gnad und Fried wird Euch gemehret."")",1
n. b. 14. Jan. [1]774,1
in der Mausegg,1
Ratsherr und Generalmajor,1
Hans Heinrich Wegmanns Sohn,1
Hartmanß,1
uß dem Wiertal,1
bapt. 14. Jun. 1765,1
Länz,2
"Hansen (""Hsen."")",1
hat sich bei den Schwiegereltern gesetzt,1
Peter Bosshards sel. Sohn zu Bäretswil in der Gupf,1
"vom Elefant (""Ilepfant"")",1
im underen Dürrenmaas,1
"der junge Schulmeister. ""Textum habui ex Prov. XXXI. 13. 14.""",1
Verkünddatum. Trauung im Laufen vorgesehen,1
"Rudolfs sel., Güterschiffmanns, lediger Sohn [Vorname des Vaters nachträglich eingefügt]",1
"am Sonntag, 28. April 1594 begraben.",1
"von Augwyl, aus der Pfarr Embrach",1
verkündet 17. Sept 1758,1
getraut laut Schein von Herrn Pfarrer Sulzer,1
"Mr., Knöpfmacher",2
erste am Dienstag gehaltene Hochzeit,1
Mr. Philipp Stollen Sohn,1
"Geörg Friederich Pfeffterle von Neüeck, Herz. Wirtenb.",1
"v. Rieden, Pfr. Dietlikon",1
Frater. Sein Bruder Hans Heinrich Homberger heiratet am gleichen Tag.,1
obiit 1660.,1
Eintrag zwischen 24. Jan. und 18. April,1
Er war von der Gemeinde am 1. Februar angenommen worden.,1
"[laut Ehebuch Grüningen von Itzikon (Grüningen), sesshaft zu Vollikon (Egg)]",1
Sein Vater Hans Jakob Buchmann heiratet am gleichen Tag Regula Freis Mutter Magdalena Beutler.,1
"2. Tim. III:8,9",1
getraut zu Ostheim,1
Fähnrich Kaspar Notzen Sohn,1
Gouwenstein Berner Gebiets,1
im Rotten platt,1
ab dem untern Wolfensperg,2
(wider gescheiden),1
"Jakob Spörris sel., auch gewesenen Sigristen, Sohn",1
"Felixen, Wilperten",1
49 Jahre alt,1
Marx Kägis Sohn,1
"""auf Dorf",1
n. 1719,1
Eintrag zwischen 14. Mai und 2. Juli [getraut zu Schlieren am 13. Mai],1
Chirurgi und Müllers Mr. Beat Zieglers Sohn,1
Heslibach aus der Pfahr Küsnacht,1
"""deß Forieren Sohn"" (E III 73.1). E III 73.1, S. 122 gibt irrtümlich 1666 als Jahr, die Abschrift (E III 73.2, S. 127) 1665.",1
Koloppen,2
"""Weis""",3
"in Diensten bei Herrn Zeller, Färber in Zürich, und Hintersäss zu Wipkingen",1
Heüwer,2
"genannt ""Dalmatier",1
