hls_id,url,title,gender,starttimerange,endtimerange,timeprecision,vorname,nachname,gbdatum,tddatum,heiratsdatum,heiratspartner,text
22483,https://hls-dhs-dss.ch/de/articles/022483/,"Kuhn, Christoph",Männlich,1701–1750,1751–1800,,Christoph,Kuhn,1737-09-18,1792-01-13,1765,Anna Barbara Meyer," Autorin/Autor: Tapan Bhattacharya 18.9.1737 Rieden (heute Gem. Wallisellen), 13.1.1792 Rieden, von Rieden. Sohn des Christoph, Landrichters und Malers. 1765 Anna Barbara Meyer. Über K.s Lehrjahre ist nichts bekannt. Er stand im Dienste des Generals Salomon Hirzel, für den er im Schloss Wülflingen Täferdekorationen, für dessen Gerichtsstube Veduten und genrehafte Darstellungen der Streiche der Brüder Hirzel und für dessen Salomon-Landolt-Stube illusionist. Grisailleornamente schuf. Darüber hinaus entstanden in Wülflingen versch. Ölgemälde sowie ein Jagdschrank, den K. bemalte. Neben den von ihm im Jahr 1767 datierten und signierten Kachelbildern für einen Ofen aus der Hafnerei Heinrich Bleulers in Zollikon existierte noch eine von ihm signierte Sonnenuhr (heute verschollen)."
22159,https://hls-dhs-dss.ch/de/articles/022159/,"Bleuler, Johann Heinrich",Männlich,1751–1800,1801–1850,,Johann Heinrich,Bleuler,1758-12-31,1823-01-25,1768,Anna Toggenburger,"     Rheinfall bei Schaffhausen. Aquarell (Kunstmuseum Basel, Kupferstichkabinett; Fotografie Martin Bühler). Autorin/Autor: Tapan Bhattacharya 31.12.1758 Zollikon, 25.1.1823 Feuerthalen, von Feuerthalen. Sohn des Benjamin. 1768 Anna Toggenburger. Ausbildung zum Porzellanmaler, bei Mathias Pfenninger zum Kupferstecher und Verleger. 1780 Gründung eines Kunstverlags. 1788 Übersiedlung nach Feuerthalen. Umrissradierungen von Schlössern und Landschaften nach Caspar Wolf. 1799 zeichnete B. vor Ort den Brand der Schaffhauser Rheinbrücke. 1799-1804 Pächter von Schloss Laufen. Vermutlich Aufenthalt in der königl. Gemäldegalerie in Stuttgart. 1815 in Berlin und am Wiener Hof. Ausbau der Werkstatt mit seinen Söhnen (Johann Ludwig ->). Im Unterschied zur Aberli'schen Manier kolorierte B. mit einer Mischung von Aquarell und Deckfarbe. Grosse Nachfrage nach seinen Stichen vom Rheinfall und Ansichten versch. Schweizerseen."
22298,https://hls-dhs-dss.ch/de/articles/022298/,"Freudweiler, Heinrich",Männlich,1751–1800,1801–1850,,Heinrich,Freudweiler,1755-10-16,1795-12-04,1790,Elisabetha Wirz," Autorin/Autor: Tapan Bhattacharya 16.10.1755 Zürich, 4.12.1795 Zürich, ref., von Zürich. Sohn des Hans Jakob, Pfarrers. 1790 Elisabetha Wirz. Lehre beim Landschaftsmaler Heinrich Wüest, Schüler der halbprivaten Institution Kleiner Kunstsaal in Zürich. 1777-78 Aufenthalte in Düsseldorf und Mannheim. 1784 nach Dresden zu Anton Graff und nach Berlin, wo er sich mit Daniel Nikolaus Chodowiecki befreundete. Ab 1785 lebte F. in Zürich und betätigte sich als Historien-, Landschafts- und insbesondere als Bildnismaler. Zudem entstanden volkstüml. Szenen der Zürcher Gesellschaft, humorist. Zeichnungen und Gouachen, Umrissradierungen und Titelvignetten. ""La sollicitude d'une mère dans l'Eternité"", ein Stich von 1786 nach einem Bildnis der verstorbenen Gattin eines Freundes, fand grosse Verbreitung. Mit der bildl. Thematisierung von Trauer, den sog. Trostbildern, schuf F. eine neue Bildgattung."
22297,https://hls-dhs-dss.ch/de/articles/022297/,"Freudweiler, Daniel Albert",Männlich,1751–1800,1801–1850,,Daniel Albert,Freudweiler,1793-12-18,1827-04-30,,," Autorin/Autor: Tapan Bhattacharya 18.12.1793 Felsberg, 30.4.1827 Zürich, ref., von Felsberg und ab 1804 von Zürich. Sohn des Karl Friedrich, Schusters. Lehre bei Johannes Pfenninger in Zürich. Seit seiner Jugend mit gesundheitl. Problemen konfrontiert, verdiente F. seinen Lebensunterhalt hautpsächlich mit Aquarellen und Miniaturporträts, wobei er sich auch mit religiösen Themen beschäftigte. 1818-24 hielt er sich in Rom auf und pflegte Kontakt zum Kreis der Nazarener. Nach seiner Rückkehr in die Schweiz malte er zahlreiche Bildnisse und kleinere Genrebilder, ausserdem schuf er Lithografien. F. war der Lehrer von Georg Balder, Carl Arnold Gonzenbach und Konrad Hitz."
22442,https://hls-dhs-dss.ch/de/articles/022442/,"Hitz, Konrad",Männlich,1751–1800,1851–1900,,Konrad,Hitz,,1866-07-10,1833,"Louise Hanhart, Pfarrerstochter"," Autorin/Autor: Tapan Bhattacharya 23.12.1798 Langnau am Albis, 10.7.1866 München, ref., von Langnau am Albis. Sohn des Hans Heinrich, Dorfschullehrers. 1833 Louise Hanhart, Pfarrerstochter. Den ersten Unterricht erhielt H. bei seinem Vater, der im Nebenverdienst Glückwunschkarten und Erinnerungsblätter verzierte. Dann arbeitete er bis 1826 als Tellermaler in einer Porzellanmanufaktur in Schooren bei Kilchberg (ZH) und genoss nebenbei Zeichenunterricht bei Heinrich Pfenninger in Zürich. Ab 1826 bildete er sich bei Daniel Albert Freudweiler in Zürich weiter. 1828 siedelte er nach München über und besuchte die dortige Akademie. Er porträtierte u.a. Königin Theresa, die Gemahlin von Ludwig I. Mit Peter von Cornelius und Heinrich Maria von Hess schloss er Freundschaft. H. arbeitete im Atelier des Münchner Hofmalers Joseph Karl Stieler. Nach der Rückkehr in die Schweiz führte er zahlreiche Werkaufträge in Süddeutschland, Zürich, Winterthur und Aarau aus; u.a. malte er 1863 ein Porträt von Gottfried Keller, aber auch Genrebilder."
22133,https://hls-dhs-dss.ch/de/articles/022133/,"Aschmann, Johann Jakob",Männlich,1701–1750,1801–1850,,Johann Jakob,Aschmann,1747-02-12,1809-04-09,1774,Maria Dorothea Haag,"     Manöver der militärischen Gesellschaft Zürich in der Nähe von Wallisellen am 20. August 1786 (Schweizerisches Nationalmuseum). Autorin/Autor: Tapan Bhattacharya 12.2.1747 Thalwil, 9.4.1809 Thalwil, ref., von Thalwil. 1774 Maria Dorothea Haag. 1765 Malunterricht bei Johann Melchior Hurter in Schaffhausen und Arbeit in einer Mousselinefabrik, danach Anstellung beim Wagnerschen Kunstverlag in Bern. 1778 auf eigene Kosten Herausgabe erster Blätter. Seine perspektiv. Ansichten militär. Manöver (1783) bzw. zum Jubiläum der Feuerwerkerges. (1786) sind hist. Dokumente. Lavierte Feder- und Bleistiftzeichnungen sowie kolorierte Kupferstiche von Veduten (u.a. Fabrikanlagen, Wasserfälle, Mühlen) bekunden das aufkeimende romant. Naturverständnis. 1795-98 nach Teilnahme am Stäfnerhandel inhaftiert. 1798-1803 Statthalter des helvet. Distrikts Horgen."
22448,https://hls-dhs-dss.ch/de/articles/022448/,"Hottinger, Johann Konrad",Männlich,1751–1800,1801–1850,,Johann Konrad,Hottinger,,1827-10-09,,," Autorin/Autor: Tapan Bhattacharya 1788 Zürich, 9.10.1827 Lenzburg, von Zürich. H. besuchte die Akad. Wien. Zusammen mit Friedrich Overbeck, Franz Pforr und Ludwig Vogel gründete er den Lukasbund. 1810 folgte eine gemeinsame Reise nach Rom. H. erhielt finanzielle Unterstützung von seinem Vater, lebte zunächst in der Villa Malta, danach im Kloster San Isidoro, verliess jedoch 1811 den Lukasbund und Rom. Er kehrte nach Zürich zurück und gelangte 1813 über München nach Wien. H. arbeitete im Geschäft seines Bruders. Dann übersiedelte er von neuem in die Schweiz. 1827 wirkte er als Zeichenlehrer an der Lippe-Schule in Lenzburg."
22111,https://hls-dhs-dss.ch/de/articles/022111/,"Ulrich, Johann Jakob",Männlich,1751–1800,1851–1900,,Johann Jakob,Ulrich,1798-02-28,1877-03-17,​,"1) 1837 Dorothea Anna von Schwerzenbach, Tochter des Hartmann, Junkers und Kantonsrats, 2) 1857 Bertha Elisa von Schwerzenbach, deren Schwester"," Autorin/Autor: Marc Fehlmann 28.2.1798 Grossandelfingen (heute Andelfingen), 17.3.1877 Zürich, ref., von Zürich. Sohn des Johann Jakob, Landschreibers und Verlegers, und der Regula Meyer. Bruder des Johann Caspar (->). ​1) 1837 Dorothea Anna von Schwerzenbach, Tochter des Hartmann, Junkers und Kantonsrats, 2) 1857 Bertha Elisa von Schwerzenbach, deren Schwester. Erste künstler. Impulse zum Maler durch Johann Caspar Schinz, ab 1816 kaufmänn. Lehre in Paris, 1822 im Atelier Jean-Victor Bertins, Bekanntschaft mit Camille Corot und Théodore Gudin, 1824-40 regelmässige Teilnahme am Pariser Salon, 1828-30 Italienaufenthalt, 1832-38 Ateliergemeinschaft mit Jacques Raymond Brascassat in Paris, 1837 Rückkehr nach Zürich, ab 1840 Beteiligung an Turnusausstellungen, 1843-45 Lehrer von Rudolf Koller, ab 1855 Prof. für Landschaftszeichnen am Eidg. Polytechnikum. Im Frühwerk bedeutender Vertreter der spätromant. Landschaftsmalerei franz. Prägung."
22114,https://hls-dhs-dss.ch/de/articles/022114/,"Vogel, Ludwig",Männlich,1751–1800,1851–1900,,Ludwig,Vogel,1788-07-10,1879-08-20,1818,Elisabetha Wilhelmina Sulzer," Autorin/Autor: Marc Fehlmann 10.7.1788 Zürich, 20.8.1879 Zürich, ref., von Zürich. Sohn des David (->). 1818 Elisabetha Wilhelmina Sulzer. 1802-04 erster Zeichenunterricht u.a. bei Johannes Pfenninger und Samuel Johann Jakob Scheuermann, anschliessend bei Johann Heinrich Füssli, Konrad Gessner und Hans Jakob Oeri. 1808 Besuch der Kunstakad. Wien. Freundschaft mit Johann Konrad Hottinger, Johann Friedrich Overbeck und Franz Pforr, mit denen er den Lukasbund gründete. 1810-13 Aufenthalt in Rom. Kontakte zu Joseph Anton Koch und Bertel Thorvaldsen, später zu Peter von Cornelius. 1813 kehrte V. nach Zürich zurück, wo er erfolgreich patriot. Historien- und Genredarstellungen schuf. Er war einer der bedeutendsten und zu Lebzeiten berühmtesten Schweizer Historienmaler des 19. Jh., nicht zuletzt weil viele seiner Werke, z.B. ""Die Eidgenossen bei der Leiche Winkelrieds"" und ""Tells Apfelschuss"", als Druckgrafiken und Fotografien reproduziert und weit verbreitet wurden."
22284,https://hls-dhs-dss.ch/de/articles/022284/,"Meyer, Heinrich",Männlich,1751–1800,1801–1850,,Heinrich,Meyer,1760-03-16,1832-10-11,1803,"Amalia Friederike von Koppenfels, aus Weimar"," Autorin/Autor: Tapan Bhattacharya 16.3.1760 Zürich, 11.10.1832 Jena, ref., von Stäfa. Sohn des Johann Baptist, Kaufmanns. 1803 Amalia Friederike von Koppenfels, aus Weimar. 1776-77 erster Unterricht beim Maler Johann Kölla in Stäfa, danach in Zürich bei Johann Kaspar Füssli. 1784-89 hielt sich M. in Rom auf, wo er sich 1786 mit Johann Wolfgang von Goethe befreundete. Ab 1791 lebte er einige Jahre in Goethes Haus in Weimar, ab 1792 war er Lehrer am Freien Zeichen-Institut Weimar, das er ab 1806 leitete. 1795-97 reiste er nach Florenz, Rom und Neapel. Er fertigte Tuschkopien von antiken Bildnissen und Gemälden Raffaels und Johann Heinrich Wilhelm Tischbeins an. M., der für den reinen Klassizismus eintrat, wurde in allen künstler. und kunsttheoret. Fragen Berater und Mitarbeiter Goethes. Er gab (mit Johann Schulzer) die Werke von Johann Joachim Winckelmann (Bde. 3-8, 1809-20) sowie eine Geschichte der bildenden Künste bei den Griechen und Römern (3 Bde., 1824-36) heraus. Als Kunsthistoriker profilierte sich M., der auch Kunst-M. oder Goethe-M. genannt wurde, insbesondere mit seinem ""Entwurf einer Kunstgeschichte des achtzehnten Jahrhunderts"" (enthalten in dem mit Goethe publizierten Werk ""Winckelmann und sein Jahrhundert in Briefen und Aufsätzen"" 1805)."
22435,https://hls-dhs-dss.ch/de/articles/022435/,"Hegi, Franz",Männlich,1751–1800,1801–1850,,Franz,Hegi,1774-04-16,1850-03-14,1821,Magdalena geb," Autorin/Autor: Tapan Bhattacharya 16.4.1774 Lausanne, 14.3.1850 Zürich, von Zürich. Sohn des Johannes des Älteren, Goldschmieds, Juweliers, Graveurs und Kupferstechers, und der Eléonore Verdeil. Neffe des François Verdeil. 1821 Magdalena geb. H., seine Cousine. 1780 Umzug der Fam. nach Zürich. Ab 1790 erlernte H. bei Matthias Pfenninger die Aquatintatechnik. 1796 in Basel, tätig für Peter Birmann. 1802 Rückkehr nach Zürich. 1804 erste Radierung für das Neujahrsblatt der Gesellschaft zum Schwarzen Garten, deren Mitglied er war. H. war ferner Ehrenmitglied der Antiquar. Gesellschaft und schuf Platten für ihre Mitteilungen. Als Artilleriehauptmann im Militär entwickelte H. ein Spiegelinstrument für militär. Aufnahmen und fertigte Zeichnungen des neuen eidg. Geschützsystems an. Mit seinen Illustrationen für Neujahrsblätter, Almanache und literar. Werke gehört H. zu den bekanntesten Kupferstechern der Schweiz."
22525,https://hls-dhs-dss.ch/de/articles/022525/,"Meyer, Johann Jakob",Männlich,1751–1800,1851–1900,,Johann Jakob,Meyer,1787-03-04,1858-12-03,1817,Anna Susanna Nievergelt," Autorin/Autor: Tapan Bhattacharya 4.3.1787 Meilen, 3.12.1858 Zürich, ref., von Zürich. Sohn des Leonhard, Seidenfabrikanten und Seckelmeisters, und der Anna Wunderli. 1817 Anna Susanna Nievergelt. Lehre beim Maler Heinrich Füssli. 1812-13 in Neuenburg für den Ostervald'schen Verlag tätig, wohnhaft beim Maler Gabriel Lory. M., der als Aquarellist erfolgreich war, verkaufte seine Werke u.a. 1839 Kg. Friedrich Wilhelm III. von Preussen und erhielt 1842 von der Zarenfam. Aufträge. In Zürich erteilte er Privatunterricht im Landschaftszeichnen. M.s Werke, hauptsächlich Ansichten des Schweizer Mittellands und der Alpen, zeichnen sich v.a. durch eine bescheidene Naturtreue aus. Nach seinen Vorlagen entstanden zahlreiche Stiche."
22317,https://hls-dhs-dss.ch/de/articles/022317/,"Gessner, Konrad",Männlich,1751–1800,1801–1850,,Konrad,Gessner,1764-10-02,1826-05-08,,," Autorin/Autor: Tapan Bhattacharya 2.10.1764 Zürich, 8.5.1826 Zürich, ref., von Zürich. Sohn des Salomon (->). Bruder des Heinrich (->). Unterricht beim Vater sowie beim Maler Heinrich Wüest. Um 1782 entdeckte G. bei einem Aufenthalt in Greifensee bei Oberst Salomon Landolt seine Begabung für Pferde- und Kriegsszenen. 1784-86 in Dresden, Besuch der Akademie, wohnhaft bei Anton Graff. 1786 in Zürich, 1788-89 in Rom und Neapel. Bekanntschaft mit den Künstlern Johann Heinrich Wilhelm Tischbein und Alexander Trippel. 1796-1804 Aufenthalt in Schottland und England; in London beschäftigte sich G. mit Radierung und Lithografie. 1804 liess er sich definitiv in Zürich nieder. Seine häufigsten Motive sind Landschaften und Szenen mit Pferden."
22487,https://hls-dhs-dss.ch/de/articles/022487/,"Landolt, Salomon",Männlich,1701–1750,1801–1850,,Salomon,Landolt,1741-12-10,1818-11-26,,,"     Landolt in seinem Atelier. Aquarellierte Karikatur von David Hess, um 1807 (Kunsthaus Zürich). […] Autorin/Autor: Matthias Oberli 10.12.1741 Zürich, 26.11.1818 Andelfingen, ref., von Zürich. Sohn des Johannes, Obervogts von Hüttlingen, und der Margaretha Hirzel. Enkel des Salomon Hirzel (1672-1755). Ledig. Ab 1764 Ausbildung an der Militärakad. in Metz, danach Aufenthalte in Paris, Holland und Berlin. 1767 in das Zürcher Stadtgericht gewählt. L. reorganisierte das Zürcher Militärwesen (Begründer des Scharfschützenwesens). 1781-87 Landvogt von Greifensee und 1795-98 von Eglisau, Mitglied des Zürcher Grossrats während der Mediation. Bekannt wurde L. auch als Maler von Militär-, Jagd- und Landschaftsszenen in Gouache, die z.T. von Franz Hegi nachgestochen wurden. Die literar. Schilderungen von David Hess und Gottfried Keller (""Der Landvogt von Greifensee"") beschreiben L. als eigenwillige Persönlichkeit."
22110,https://hls-dhs-dss.ch/de/articles/022110/,"Trippel, Alexander",Männlich,1701–1750,1751–1800,,Alexander,Trippel,1744-09-23,1793-09-24,,," Autorin/Autor: Dieter Ulrich 23.9.1744 Schaffhausen, 24.9.1793 Rom, ref., von Schaffhausen. Sohn des Hans Jakob, Schreiners, und der Ursula Habicht. Ledig. 1755 kam T. mit der Mutter, die ihrem ausgewanderten Gatten gefolgt war, nach London und half seinem Vater in der Werkstatt. 1760 begann er eine Lehre als Musikinstrumentenbauer, wenig später als Elfenbeinschnitzer in der Werkstatt Johann Lückes in London. Nach dem Tod der Mutter fand T. 1761 im Atelier des Bildhauers Johannes Wiedewelt, ab 1766 bei Carl Frederik Stanley in Kopenhagen Aufnahme. Bei Wiedewelt liess er sich von Johann Joachim Winckelmanns Antikerezeption beeinflussen und wirkte u.a. an den dän. Königsgräbern im Dom von Roskilde mit. Stanley ermöglichte ihm den Besuch der Königl. Akademie (1768 Grosse Goldmedaille). In den Pariser Jahren 1772-75 entwickelte T. seine Virtuosität und weckte, vermittelt durch Christian von Mechel, mit der als Allegorie auf die Eidgenossenschaft konzipierten Gipsfigur ""Der ruhende Herkules"" (1775) das Interesse der Schweizer Aufklärer. Von seinen Entwürfen für die Helvet. Gesellschaft gelangte allerdings nur ein Pokalsockel zur Ausführung, der Tell mit seinem Sohn zeigt. Die Figurengruppe wurde später zum Signet für die Helvet. Republik. T., der als Bildhauer in der Schweiz kaum zahlungskräftige Auftraggeber fand, zog 1776 nach Rom und etablierte sich dort als führende Künstler- und Lehrerpersönlichkeit des jungen dt. Klassizismus. In Rom porträtierte er u.a. Johann Wolfgang von Goethe (1788, 1790) und erhielt 1787 mit dem ""Grabmal des Gouverneurs Sachar Tschernyschew"" (1789) seinen ersten Grossauftrag. Mit dem ""Denkmal Salomon Gessner"" (1793) in Zürich schuf er das erste bürgerl. Denkmal der Aufklärung in der Schweiz. Sein letztes Monumentalwerk, das ""Grabmal des Fürsten Johann Nepomuk von Schwarzenberg"" in Třeboň (Tschech. Republik), wurde kurz nach seinem Tod vollendet."
22402,https://hls-dhs-dss.ch/de/articles/022402/,"Giorgioli, Francesco Antonio",Männlich,1651–1700,1701–1750,,Francesco Antonio,Giorgioli,,1725-11-15,​,"1) 1677 Margherita Roncati, 2) 1695 Jacoba Vassalli"," Autorin/Autor: Laura Damiani Cabrini Übersetzung: Ernst Grell um 1655, 15.11.1725 Meride, kath., von Meride. Sohn des Giovan Pietro, gen. Il Longo, Holzschnitzers und Bildhauers, und der Maria Sibilla Buzzi. ​1) 1677 Margherita Roncati, 2) 1695 Jacoba Vassalli. G. bildete sich wohl in Mailand zum Maler aus, wo er 1678 bezeugt ist. 1680-83 Tätigkeit in Rom mit Aufenthalten in Florenz. 1687 reiste er - mit Zwischenhalten in Venedig und Wien - nach Warschau. Dort arbeitete er mit seinem Bruder Carlo Giuseppe, Stuckateur, zusammen. 1691-1722 wirkte G. abwechslungsweise in seiner Heimat (Meride, Lostallo, Balerna), in Süddeutschland (St. Trudpert, Säckingen) und in der Deutschschweiz (Pfäfers, Willisau, Muri, Rheinau), unterbrochen von Aufträgen in Pavia 1692 und Viggiù (Kapelle S. Elia). G. war ein versierter und sehr produktiver Freskenmaler, der sich durch einen eigenständigen, wenn auch zuweilen repetitiven Stil auszeichnete."
22518,https://hls-dhs-dss.ch/de/articles/022518/,"Merz, Jacob",Männlich,1751–1800,1801–1850,,Jacob,Merz,1783-04-07,1807-10-02,,," Autorin/Autor: Tapan Bhattacharya 7.4.1783 Hirslanden (heute Gem. Zürich), 2.10.1807 Wien, ref., von Zürich. Sohn des Christian, Webers. 1795-97 lebte M. im Pfarrhaus von Andelfingen, wo er unter Anleitung des Pfarrers Johann Wilhelm Veith und von Johann Heinrich Lips Zeichnungen und Stiche kopierte. Bei Letzterem ging er 1797-1801 in die Lehre als Kupferstecher. 1802-07 studierte er an der Kunstakad. in Wien bei Heinrich Füger und Johann Rudolf Füssli. 1805 war M. im Dienst der ungar. Fürstin Grassalkovich Zeichenlehrer in Pressburg. Er traf den ital. Bildhauer Antonio Canova, den er in einem Kupferstich porträtierte. Insbesondere als Zeichner tat sich M., der zahlreiche Aufträge für den Wiener Hof ausführte, mit subtilen Landschafts- und Genrebildern hervor."
22555,https://hls-dhs-dss.ch/de/articles/022555/,"Oeri, Hans Jakob",Männlich,1751–1800,1851–1900,,Hans Jakob,Oeri,1782-12-16,1868-02-24,,," Autorin/Autor: Tapan Bhattacharya 16.12.1782 Kyburg, 24.2.1868 Zürich, reformiert, von Zürich. Sohn des Hans Georg, Pfarrers, und der Cleophea von Meiss. Ledig. 1800 Lehre beim Landschaftsmaler Johann Kaspar Kuster. Ab 1802 Teilnahme an den lokalen Ausstellungen in Zürich. 1803-1807 mit David Sulzer in Paris, Arbeit im Atelier von Jacques-Louis David. 1809 mit Jakob Christoph Miville Reise nach Moskau, dort Lehrer und Porträtist. 1812 wegen Napoleons Russlandfeldzug Flucht aus Moskau nach Lübeck, Verlust zahlreicher Studien. 1819 Rückkehr nach Zürich. Lithograf für den Basler Kunstverlag Birmann & Söhne sowie die Hofkunsthandlung von Johann Velten in Karlsruhe. Später Reisen nach Dresden, Frankfurt am Main und Kassel. Hans Jakob Oeri schuf Porträts, grossformatige Lithografien nach Hans Holbein dem Jüngeren, Raffael oder Fra Bartolomeo, zeichnete und aquarellierte historische Szenen sowie Kostüm-Studien aller Jahrhunderte christlicher Zeitrechnung."
22697,https://hls-dhs-dss.ch/de/articles/022697/,"Wetzel, Johann Jakob",Männlich,1751–1800,1801–1850,,Johann Jakob,Wetzel,1783-12-29,1834-09-22,1813,"Emerentiana Ziegler, Tochter des Jacob Christoph, Schützenwirts"," Autorin/Autor: Anna Katharina Bähler 29.12.1783 Hirslanden (heute Gem. Zürich), 22.9.1834 Richterswil, von Uhwiesen (heute Gem. Laufen-Uhwiesen). Sohn eines Drechslermeisters. 1813 Emerentiana Ziegler, Tochter des Jacob Christoph, Schützenwirts. 1794-97 Lehre bei Johann Heinrich Bleuler, danach an der Kunstanstalt von Johannes Walser in Herisau, wo W. für Gabriel Lory père und fils arbeitete. 1809 Tätigkeit beim Verleger Ostervald in Neuenburg. 1810 Rückkehr nach Zürich, selbstständiger Zeichner pittoresker Landschaftsansichten. Ab 1813 Mitglied der Zürcher Künstlergesellschaft. W.s Hauptwerk ""Voyages pittoresques aux lacs de la Suisse"", eine Folge von 137 Ansichten der Schweiz und Italiens, in Aquatinta gestochen von Franz Hegi und anderen, erschien zwischen 1817 und 1827 bei Orell Füssli. Seine Arbeiten umfassen Tuschzeichnungen, Aquarelle, kolorierte Umrissradierungen und Aquatinten. W. war ein Vertreter der schweiz. Kleinmeister."
22629,https://hls-dhs-dss.ch/de/articles/022629/,"Schinz, Johann Caspar",Männlich,1751–1800,1801–1850,,Johann Caspar,Schinz,1797-04-16,1832-08-09,1826,Emerentia Dorothea Hirzel," Autorin/Autor: Matthias Oberli 16.4.1797 Zürich, 9.8.1832 Zürich, ref., von Zürich. Sohn des Hans Rudolf S. zur Gloggen, Bankiers, und der Anna Katharina Huber. 1826 Emerentia Dorothea Hirzel. Grafikerlehre bei Johann Heinrich Lips, 1815 Malerlehre bei Johann Kaspar Huber, ab 1816 Ausbildung an der Akad. der Künste in München. 1820-25 in Rom, dort in engem Kontakt zum dt. Künstlerkreis der Nazarener, 1826 Rückkehr nach Zürich, Reise nach Weimar und Dresden, danach Zeichenlehrer am Techn. Institut in Zürich. Die bibl. und teilweise auch moral. Historiengemälde, so ""Das Scherflein der Witwe"" (um 1800, ref. Kirche Dinhard), ""Maria mit Jesuskind und Johannesknaben"" (um 1820, Kunsthaus Zürich) sind technisch perfekt und ganz dem Neorenaissancestil der Nazarener verpflichtet."
22654,https://hls-dhs-dss.ch/de/articles/022654/,"Stauder, Franz Carl",Männlich,1651–1700,1701–1750,,Franz Carl,Stauder,,1714-11-25,​,"1) Salomea Schmid, 2) Esther Kündig, 3) Maria Barbara Mathis"," Autorin/Autor: Tapan Bhattacharya um 1660/64, 25.11.1714 Solothurn, kath.; Sohn des Johann Jacob, Malers und Bildhauers. ​1) Salomea Schmid, 2) Esther Kündig, 3) Maria Barbara Mathis. Vermutlich Lehre bei seinem Vater, der um 1676 wahrscheinlich aus der Schweiz nach Ochsenhausen (Oberschwaben) zog. Ab 1686 in Konstanz belegt. S. war in militär. Diensten, desertierte und liess sich Anfang der 1690er Jahre in Oberwil im Fürstbistum Basel nieder. 1691 war er für das Kloster St. Urban sowie in der Wallfahrtskirche Birnau am Bodensee tätig. Ab 1701 lebte er in Solothurn. Regelmässige Aufenthalte in Salem und Überlingen. S. schuf u.a. 1703 das Hochaltarblatt für die Jesuitenkirche Solothurn und 1709 die Seitenaltarblätter für die Abteikirche Rheinau. Seine in der Schweiz ausgeführten Arbeiten gehören zu den Hauptwerken der Altarbildmalerei um 1700."
22544,https://hls-dhs-dss.ch/de/articles/022544/,"Maurer, Heinrich",Männlich,1751–1800,1801–1850,,Heinrich,Maurer,1774-09-03,1822-11-07,,," Autorin/Autor: Tapan Bhattacharya 3.9.1774 Bülach, 7.11.1822 Zürich, von Zürich. Sohn eines Kapiteldiakons und der Elisabeth Berger. Auch Murer genannt. Ab 1798 verheiratet. M. machte ab 1789 eine Lehre beim Landschaftsmaler und Radierer Johann Kaspar Huber in Zürich. Mit Heinrich Werthmüller begab er sich 1796 auf Wanderschaft über Augsburg nach München und weiter nach Dresden, wo er niederländ. Gemälde und die Natur der näheren Umgebung studierte. 1797 kehrte M. nach Zürich zurück, doch litt seine weitere Ausbildung unter den polit. Unruhen seiner Zeit. 1809-11 sah er sich zu einem Kuraufenthalt in Leuk gezwungen. Ab 1814 unternahm er alljährlich Sommerreisen in die Alpenregionen der Schweiz und verarbeitete seine Naturstudien in Gemälden und kolorierten Umrissradierungen. Er war ein typ. Kleinmeister von heiterer Lebenshaltung und stand stilistisch in der Tradition der Frühromantiker."
22619,https://hls-dhs-dss.ch/de/articles/022619/,"Schellenberg, Johann Ulrich",Männlich,1701–1750,1751–1800,,Johann Ulrich,Schellenberg,1709-11-08,1795-10-29,​,"1) 1737 Anna Katharina Huber, Tochter des"," Autorin/Autor: Matthias Oberli 8.11.1709 Winterthur, 29.10.1795 Winterthur, ref., von Winterthur. Sohn des Hans Jakob, Schuhmachers, und der Veritas Blum. ​1) 1737 Anna Katharina Huber, Tochter des Johann Rudolf Huber, 2) 1761 Anna Katharina Brunner. 1724-27 Ausbildung beim Winterthurer Flachmaler Joachim Hettlinger, danach in Augsburg Schüler des Kupferstechers Johann Jakob Haid. Ab 1736 Gehilfe seines Schwiegervaters in Bern bzw. 1738-49 in Basel, dort Kontakt zu Emanuel Büchel. 1749 Eröffnung eines Kunstverlags und einer Zeichenschule in Winterthur. 1755-57 versch. Landschaftszeichnungen für David Herrlibergers unvollendetes Stichwerk ""Topographie der Eydgnossschaft"" sowie Porträtist. Ab 1759 Ratsherr in Winterthur. S. schuf 1769 eine Radierungsfolge mit Ansichten der Gotthardroute und später versch. Stadtveduten. Sein topograf. Schaffen machte ihn zu einem Wegbereiter der Alpenmalerei."
22640,https://hls-dhs-dss.ch/de/articles/022640/,"Schweizer, Christoph",Männlich,1501–1550,1551–1600,,Christoph,Schweizer,,,,," Autorin/Autor: Tapan Bhattacharya Erstmals erwähnt 1532 als Patenkind von Christoph Froschauer dem Jüngeren, spätestens 1589, von Zürich. Sohn des Michael, Buchdruckers, aus Wildberg (Schwarzwald). Christoph Schweizer ist 1562 in Zürich als Formschneider nachweisbar. Um 1564 arbeitete er vermutlich für die Offizin von Christoph Froschauer. Nach 1570 wirkte er vor allem für Jost Ammann. Er fertigte Einblattdrucke an und vertrieb im eigenen Verlag Einblätter, Broschüren und Bücher. Die Einblattdrucke «Mann im Ei» (1569) und ein Druck mit Wunderzeichen (1570) befinden sich in der Zentralbibliothek Zürich."
