Info,Anzahl
Hartmann Angsten sel. Tochter,3
Näfly,1
eine Proselytin,4
baptiz. den 16. 9bris 1754,1
"Felix Hausers sel. ""gnt. Heliman"" Tochter. Obwohl sie in Schappel und Kranz zur Kirche gingen, gebar sie doch am 16. März 1684 eine Tochter.",1
"Herrn Johann Ulrich Weissen, Chirurgi, Tochter",1
ist die dritte [Ehefrau],1
Haggenbuechin,1
"Mr. Kaspar Schwerters des ""Säklers"" Tochter",1
nat. d. 18. Jun. 1724,1
Matthias Weltis Tochter,1
"Mr. Jakob Schulthess, Kürschners, s. Tochter",1
b. 15. Jan. 1745,1
Text: Joh. 2. 1-11.,1
"""von Denschbüren, aus dem Canton Bern""",1
"von Ober-Wagenburg, der Pfarr Embrach",1
b. 15. Jan. 1741,1
bapt. 14. Jun. 1767,1
aus dem Rohr der Pfarr Kloten,1
"samstags, ohne Ehrenzeichen, wegen frühzeitigem Beischlaf",1
Walpurga Wildemer auß Pünten,1
Jören Thochter,1
Lerbin,1
"Eltern: Johannes Meier, Vieharzt, Katharina Bächi",1
bapt. d. 5. Aug. 1737,2
nata 11. Sept. 1732,1
"dritte Ehe (""3tio"")",1
"""Jgf. Dorothea Meiß von Wezikon""",1
N. 7. Mart. 1751,1
Nachtrag: 8. Okt. 1836,1
Elsbetha Wölsterlin von Alperg,1
Hans Kunzen Tochter,1
aus der Rietmat,1
"""Wylen der Pfarr Nüforn""",1
Baptiz. den 2. Weinm. 1768,1
bapt. d. 7. 8br. 1736,1
Frau Barbara Nüssli geb. Goll von Nussberg,1
nat. 24. Aug. 1770,1
Heinrichs,33
"Jakob Dieners Tochter ""ab dem obern Haus"" [?]",1
b. den 6. Febr. 1746,1
Eltern: Jakob Hafner und Katharina Waser,2
"""von Ißikon der Pf. Grüningen""",1
b. 11. März 1759,1
Zweiteintrag auf S. 328: Schmieds Tochter,1
Eltern: Salomon Werder und Anna Trümpler,1
Bapt. d. 14. Maj. [17]38,1
by den Nusbäumen,2
K. Ann,1
Barbara Sattler filia Marx Furers von Grüningen,1
"an einem Samstag, absque coronis",5
bapt. d. 1. Febr. 1743,1
nat. den 3. Xbr. 1719,1
Jakob Fricken Tochter,1
nat. 22. Juli 1778,1
Diese haben zum ersten Mal den neuen Kirchenstuhl eingeweiht.,3
aus der Münz,1
Annli Frizi,1
b. den 21. 9br. 1736,1
"Das Ehegericht hat erkannt, dass sie an einem Samstag im Abendgebet kopuliert werden sollen.",1
"Mr. Jakob Epprechts sel., Glasers, Tochter. ""NB. Conf. Tauffb. d. 9. Aug. 1762.""",1
"""von Wellhausen der Pfarr Felwen im Thurgaü""",1
"verwitwete Ritz von Berneck (siehe Trauung in Maschwanden, 24. Okt. 1724)",1
"Anna Catharina Schneit aus dem mittleren Schneit, der Pfarr Ellg. [Familienname Bachmann aus dem Ehebuch Aadorf ergänzt.]",1
Nata 1. Ian. 1739,1
"Elß Meyerin, Jagel Meyers sel. Tochter",1
"""ab der Kemterburg""",3
von Salenstein auß der Pfar Ermatingen,1
"Eltern: Heinrich Frei, Anna Meier",2
Dimissionsschein an Herrn Pfarrer Waser in Schönenberg gegeben. Zweiteintrag auf S. 332 ohne Name des Bräutigams.,1
bapt. den 21. Junii 1761,1
"Nachtrag: ""Mort. den 4. 9br. 1768.""",1
"Anna Stadleri, gnt. Studeri",1
"beide ""Verpfründte im Spithal""",1
"è Struwyl, der Pfarr Lustorf",1
"auß dem Thal, in der Gmeind Aügst",1
Elsbet,6
nata den 4. Mart. 1759,1
Kaspar Dubsen des Schuhmachers Tochter,1
"""von Hagenbuch der Pfr. Aadorff""",1
b. d. 28. 9br. 1745,1
Bapt. 11. 9bris 1742,1
Eltern: Jakob Stucki und Barbara Schurter von Buch am Irchel,1
[n.] den 28. Aug. 1754,1
"""Fr. Sabina Naglin""",1
Herrn Schulthess aus dem Sonnenberg Tochter,1
Witwe des Schmieds Weber,1
"Hans Pfenningers, alten Seckelmeisters, Tochter",1
Heydin,1
Hirsgartner,2
"b. 27. Apr. 1766, ex. 1785",1
"[Nat.] ""den 5. Merzen 1752""",1
b. d. 20. Febr. 1746,1
Steuermeiers Tochter,1
"Mr. Heinrich Mosers, des Metzgers Tochter",1
Bräker,3
Barbara Niller. Proselytha Viennensis,1
"""baptizata Ao. 1701 den 29. Junii.""",1
Zusan,1
[bapt.] d. 18. 7br. 1729,1
b. 30. October 1734,1
Rümbelin,5
"""Heidelin""",2
"""Auß dem Esch Thürlein""",1
"Hans Konrad Müllers, ""jüngers"", Tochter",1
von Schinznacht,1
bapt. d. 15. May 1701,1
"Eltern: Konrad Meier, Helena Trüb",2
"haec baptizata A°. 1695, d. 3°. Junii",1
Verena Hilßlerin von Gaachlingen,1
nat. 4. 9br. 1725,1
Nata d. 30. 7br. 1759,1
"Mr. Heinrich Bären sel., Zimmermanns, Tochter",1
B. den 10. Maii 1733,1
B. den 10. Maii 1731,1
ab dem Than,3
Später angebrachter Hinweis: I 187,1
B. den 10. Maii 1736,1
uß der Engi bey Zürich,1
Später angebrachter Hinweis: I 184,1
n[at]. 1754,1
"von Buch, der Pfarr Hüttweilen",2
Margret Billeren,1
bapt. 9. Sept. 1759,1
Witwe des Felix Halbheer,2
Baptiz. 6. Aug. 1702,1
"Maria Widnin, ein Schwäbin",1
Nättelmannin. Sie hat auf dem Münsterhof in Zürich bei Herrn Jakob Bodmer gedient.,1
"""T[ext]. Ps. 33:22""",1
Bapt. den 18. Junii a°. 1741,1
Herrn Pfarrers sel. Tochter von Volketswil,1
Rütti Hanßen Tochter,1
"nata 1648, 26. November",1
"Eltern: Ulrich Peter, Anna Koblet",1
Witwe des Philipp Weissmüller von Obersteinmaur,1
Jonweyd,1
nat. den 1. Jul. 1679,1
"""coet[ualis].""",1
b. d. 13. Jun. 1753,1
b. 2. Jan. 1754,1
N. 22. Jul. 1753,1
von Trogen Appenzeller Landts,1
auß dem Sädel,1
Randnotiz: + 26.4.1828 (begr. 28.4.),1
"Eltern: Heinrich Binder, Verena Scheibli sel.",1
auf der Bällen,2
"von Gundischweyl, Cantons Bern",1
bapt. den 2. Jan. 1724,2
Schumachers u. Ehegaumers,1
"""Bonnor""",1
Kaspar Flachen sel. Witwe,1
Witwe des Jörg Greuter,1
Kaspar Hessen Tochter,2
"""Einin"" im Bevölkerungsverzeichnis Töss 1634 (S. 261)",1
uß dem Urfal,3
Konrad Schicklis filia,1
n. b. 21. Apr. [1]776,1
Schufelberg,3
ab Kreuzlen,1
N. 18. Jan. 1756,2
"NB. Seind zusammen geschloffen, und war sie schwanger. Ihnen einen Sohn getaufft den 16. Mart. 1684.",1
b. d. 15ten Febr. 1750,1
"Eltern: Hans Jakob Keller sel., Beatrix Ernst",1
uß der Pfar Gossouw,1
Margreth Lämchin von Hamelen in Hanover,1
b. d. 14. 8br. 1701,1
"ab Waltensperg, ""Jörgen s. Tochter""",1
"Hans Jakob Hofmanns sel. ""von Hofstetten der Pf. Elg"" Tochter",1
Kleüsli,1
"Nat. 1755, 31. Aug.",1
"""aus dem Steig, im Adlischweilerberg, der Pfarr Kilchberg""",1
T. Gen. XXVIII.1-5.,2
baptiz. 23. Sept. 1708,1
Elisabeth Fehr geborene Schwarber,1
nat. den 23ten Junii 1743,1
bapt. 1. Febr. 1776,1
Sine cor.,1
nata d. 18. Maii 1733,1
"Eltern: Heinrich Meier sel. gewesener Hufschmied von Kloten, Anna Wintsch",1
Witwe des Hans Jakob Gibel,1
"""aus dem Teuffenbach der Pfarr Bauma""",1
"in Gfell der Pfarr Wyla. Ihretwegen waren Ulrich Bosshard im Gfell (der bei Steg war) und Joachim Bosshard, ihre ""Fründen"", beim Pfarrer, die im Beisein von Weibel Rudolf Gnehm für sie versprachen.",1
bapt. 10. April 1771,1
Kam in 13 Wuchen mit einem Kind.,1
Verena Kirni,1
Bapt. d. 25. Mart. 1708,1
Mülli Krah,1
Nat. den 13. Aprill 1769,1
Vater: Hans Jakob Diener,1
alt Gschwornen,1
Nata den 8. Mertz 1741,1
"nat. 1740, 2. 8br.",1
Mercktin,1
"Text ""Jes. LXII:5 b.""",1
aet. 58,2
aet. 59,1
aet. 54,3
aet. 55,9
aet. 56,2
aet. 57,5
aet. 50,10
aet. 51,6
aet. 52,1
aet. 53,4
Bapt. 18. Apr. 1736,1
"v. Oberweil, der Pfarr Baßerstorff",1
"genannt ""Meyler Annali""",1
"Eltern: Rudolf Bär von Elsau, Barbara Müller von Dussnang (""Duslingen"")",1
"""us dem Bleicker Wäg""",1
Sigerist ald Huggenbergin,1
"""von Liechtstall in dem Canton Basel""",1
Sie erhielt am 22. Juni 1787 den Kopulationsschein.,1
von Rumikon,1
"""ab Dorf der Pfarr Umbrächtikon""",1
"Text: Philipp. ..."" [Textverlust]",2
Baptiz. d. 17. 9brs. 1729,1
Köllikon,1
getauft zu Embrach,1
bapt. d. 1. Jun. 1748,1
"Text. ""Gal. VI.1-5.""",1
bapt. den 22en. Jenner 1741,1
"""ab dem Berg, der Gem. Pfungen""",1
Heiris sel. Tochter,2
Ulrich Hafners Tochter,1
Heinrich Baumanns hinterlassene Tochter,1
getauft den 30. Jun. A. 1718,1
Witwe des Richters Hans Heller,1
n. d. 25. Febr. 1724,1
Verweis auf Gemeindebuch III 2,1
"von ""Vordermarchlen der Pfr. Embrach""",1
"Heinrich Lätschen sel., des unteren Schmieds zu Wald, Tochter",1
baptiz. 13. Febr. 1718,1
von Rietten,1
Wächter Felixen Tochter,1
bapt. den 8. Merz 1798 [sic],1
baptiz. 15ten May 1746,1
"Hans Möcklis ""des Grichts allhier"" Tochter",1
aus dem Kollertobel im Sternenberg,1
nat. den 6ten Nov. 1759,1
B. den 8ten 9br. 1767,1
"""concionatus Hr. Pfr. Herrliberger ab dem Sternenberg""",1
Rynegger,1
Herrn Antistes Ulrichs sel. Tochter,1
baptiz. den 16. Jan. 1752,1
bapt. den 3ten Febr. 1712,1
nata den 3. April. 1710,1
aet. 37 Jahre 10 Monate,1
Elsa Wyrnlin,1
Thallmann,1
"Nachtrag: ""ob. den 11ten Jun. 1830.""",1
Willa,1
Marx Demuthen sel. Tochter,2
N. 13. Aug. 1752,1
"Eltern: Hans Heinrich Braschler, Anna Meier",1
"""Elias sel. Tochter""",1
Witwe des Mr. Heinrich Burkhard,1
"Eltern: Hans Konrad Brack, Margaretha Hablützel",1
b. 25. Febr. 1731,3
B. den 19ten Xbr. 1762,1
Bapt. bey den Predigeren in Zürich den den 2. 7bris 1742,1
"Heinrich Stiefels sel., ""Lehenbauren allhier"", Tochter",1
Margaretha Bültini auß den Schönenberg u. anfangs auß dem Toggenburg,1
ab dem Wylhoff,4
"Hans Konrad Wipfen sel. von ""Raadt"" Tochter",1
gebürtig von Maur,1
"Eltern: Hans Ulrich Peter, ""Dekers""(?), von Hagenbuch, Barbara Huggenberger",1
Hs. Jac.,1
"von Schoftland, L. Canton Bern",1
"im Zinggen (""im Zincken"")",1
Anna Hagin,1
Eltern: Konrad Keller und Anna Spiess,1
Bapt. den 20. Jan. 1722,1
nat. den 3. July 1741,1
Hin,1
von Heben Egg im Schwabenland,1
Geschwornen Jakobs sel.,1
"Witwe des ""Marti"" Moser",1
"""Nießlein""",1
Heinrich Billeters sel. Tochter,1
Witwe des Felix Willi,1
"Heinrichs (""Geken Burris"") Tochter",1
mit bestem Zeugnis von Pfarrer Kaspar Reutlinger zu Dürnten,1
"beide ""v. Würenlos der Pf. Otelfingen""",1
"Eltern: Hans Götz, Richter, und Elisabeth Angst",1
getauft 18. Jan. 1778,1
Schette,1
Kohler,2
"Kirchmeier (""Km."") Heinrich Meilis Tochter",1
"nat. 1774, 9. Jan.",1
Eystin,1
Witwe des Peter Stierli von Oberurdorf,1
"""m. d. 30ten 8bris 1761""",1
"b. 1686, 2. Maj.",1
"Witwe des Wagners Gross. ""Bapt. d. 5. Jul. 1761.""",1
bapt. d. 27. April. 1738,2
Mr. Jakob Syzen sel. gewesenen Schmieds Tochter,1
"Seine Dienstmagd, die er geschwängert hatte.",1
Regnier,1
genaues Datum und Name der Ehefrau fehlen.,1
b. 7. Merz 1740,1
Bapt. den 25sten Dec. 1725,1
Starb 2. Martii A°. 86.,1
bapt. d. 5. Apr. 1711,1
bapt. d. 30. Jenner 1707,1
Kilchberg in der Grafschaft Toggenburg,1
b. 17. Hornung A° 1774 zu Sennspürren im Canton Bern [wohl Densbüren AG],1
bapt. zu Pfeffikon d. 28. Mart. 1689,1
Rud. sel. Tocht.,1
Witwe des Jakob Gehring von Rüdlingen,1
"Witwe des Heinrich Ochsner ""de N[igro]. Rino"" [Schwerzenbach]",1
uß dem Glarnerland,1
b. den 18. Mey 1753,1
b. d. 18. Febr. 1773,1
Kaspar Laubis Tochter,1
nat. den 6ten Febr. 1732,1
Witwe des Heinrich Kläusli,1
Knüpffli,1
Landert,19
baptiz. d. 5. 7br. 1756,1
Schweikh.,1
nat. 1765 den 23. Febr.,1
"""Pfarrers f. zu Seeburg im Bernpiet.""",1
"Vre, ""Dachslezen""",1
baptiz. den 7. Aug. 1747,1
[bapt.] 14. Mai 1775,1
N. & B. den 24. Febr. 1732,1
bapt. 17. Merz 1748,1
Ohrschwand,1
+ 1799 d. 8. Julii,1
pastoris filia von Greifensee,1
nat. 23. Febr. 1740,1
beyde v. Adlischweil Pfr. Kilchberg,1
Leüzigerin,1
"""Stäffan""",1
Dennicken,1
Ursula Thama,1
Clara Trumeterin,1
"im Thal, Bäretschw.",1
"Nat. 1755, den 16. Febr.",1
Vorname ergänzt aus Eintrag im Kirchenbuch Sankt Peter (24. Juni 1753),1
Rüchin,1
bapt. 14. Mey 1724,1
n. d. 8ten Apr. 1726,1
Obermüllers Tochter,1
Äblin,1
auß dem Hinderberg,1
NB. Ihnen ein Kind getaufft den 17. Febr. 84.,1
b. den 25sten Xbr. 1740,1
Eltern: Peter Hinderling und Anna Sommer,1
Gräfin,1
Vogt und Kirchenpfleger Hans Jakob Wipfen Tochter,1
Bernergebieths,1
"""von Vorder Marchlen, der Pfarr Embrach""",1
bapt. d. 12. Dec. 1748,1
bapt. den 17. Mart. 1700,1
bpt. 6. Sept. 1750,1
Bapt. d. 2. Apr. 1710,1
samstags ohne Ehrenzeichen getraut,1
"""von Eschikhofen der Pfarrey Hüttlingen""",1
"Unter Hallau, Schafhaußer Gebiets",1
b. d. 2. Apr. 1775,1
b. 8. April 1722,1
"Witwe des Jakob Engeler (""Jac. Engel. s. Witwe v. Ell."")",1
im Äsch der Pfahr Fischenthal,1
nat. 10. Juli 1740,1
von Mersenburg,1
Elsbeth Kindenmann us der Aa,1
nat. den 16ten Aug. 1778,1
Barbara Tahel,1
n. den 25. Jul. [17]62,1
von Dachßleren auß der Pfarr Nieder-Weningen,1
"Nachtrag: ""Mort. den 19. Apr. 1795""",1
b. d. 28. Oct. 1764,1
von Müllberg der Pfarr Embrach,1
v. Dicknouw,1
Jakob Näfen Tochter,1
von Schlatt. D. B. N. [Deus benedicat neogamis.],1
im Suhner,1
"von Dettweil, der Pfarr Andelfingen",1
Bapt. d. 31. 9br. 1736,1
Bapt. den 22. Meyen 1744,1
Gallus Wettsteins sel. Tochter,1
bapt. 26. Jun. 1763,1
Bapt. d. 12ten Junii 1720,1
"Text: Ps. 119, v. 9.",1
"Schlüßerin, ""ab der Grub""",1
"Text ""Ps. XCVII:10.""",1
"""Jeanne Maria Clerc von Villars Bozon Lobl. Cant. Bern""",1
Hohenëgger,1
ex Pfarr Schönenberg,1
des vorhergehenden Pfarrers Tochter,1
Brysilla,1
"Witwe des Hans Rudolf Bosshard, Müllers zu Laubberg",1
Heinrich Hubers sel. Tochter,7
n. 7. Aug. 1707,1
von Farwangen Bernergebiehts in der Gm. Se[e]ngen,1
"Nachtrag: + 1759 (""post puerper."")",1
Ursul-Maria,1
nata den 24. Julii 1708,1
Hans Glättlis Tochter,1
bapt. d. 24. Junii [17]59,1
Dorly Kindenman,1
Hansen sel. von Buch Tochter,1
"Herrn Hans Heinrich Kronauers, des Rats und ""Chir[ur]g."" zu Winterthur, Tochter",1
"Eltern: Herr Jakob Bachmann, Handelsmann, Frau Regula ""Rempfin""",1
des Kraz Heiris Tochter,1
b. 20. Apr. A°. 1698,1
N. 9. Febr. 1754,1
Thomas Maurers Tochter,1
"aus dem Schneit, Pfarr Elgg",1
Baptizata 25. Febr. 1700,1
Anna Leiberi von Baden,1
Maria Catharina de Lobell von Ypren,1
"Susanna Bär von Unterrifferswil, geborene Gugolz von Untermettmenstetten",1
"""Jungfrau Dorothea Christ von Naßau Dillenburg""",1
"""vom Stein, Togg.""",1
Lurin,5
bapt. d. 21. 9ber 1745,1
"Eltern: Heinrich Rütschi sel., Anna Kübler",1
Bap. 21. Mart. 1734,1
"Eltern: Kaspar Wolfensberger, mort., und Katharina Kägi",1
Schyblin,2
von Bernang,1
Herrn Pfarrers sel. Tochter von Regensberg,1
Pfifferi,1
Witwe des Hans Ulrich Albrecht von Stadel,1
Baptiz. den 15. Augst. 1775,1
Nän.,1
Bridly,2
"[bapt.] 1698, 3ten Apr.",1
Otil,1
"""Oberöri""",1
Waltburg,2
"nat. 1736, 29. Jul.",1
"von Nöschiken, der Pfarr Niederhaßle",1
Herrn Archidiaconi Tochter,1
nata den 16. Jun. 1698,1
Lützigerin,1
nat. 1717 den 20ten Jul.,1
Tochter Herrn Statthalter Heinrich Eschers aus dem Seidenhof,1
Bridli,2
"vgl. auch YY 1.120, fol. 20 r (10. Februar 1648): Von ""Bernlen"", ""Würtenbergergebiets""",1
Hans Benzen sel. Tochter,1
[bapt.] 10. Dez. 1776,1
b. d. 12. Sept. 1745,1
bapt. Dägerlen 17. Sept. 1724,1
Nachtrag: Jakob Gibels Tochter,1
b. d. 14. Apr. 1748,1
baptizata 29. Jan. 1699,1
Eltern: Johannes Grob und Anna Barbara Heusser sel.,1
nat. 31. März 1763,1
"Eltern: Mr. Felix Fierz, Müller, und Anna Meier",1
Witwe des Jakob Lieber,2
"Vgl. auch YY 1.128, S. 122 (13. Mai 1652): Von Thalwil.",1
Eltern: Andreas Wettstein und Margaretha Meier von Seebach,1
nat. den 5. Febr. 1736,1
Catharina Weinin von Rittershoffen im Amt Hatten im Underen Elsaß,1
b. 1. 7bris 1700,1
Bernhard Weidmanns Tochter,1
b. d. 28. 9br. 1717,1
b. 25. Aug. 1765,1
Chilians,1
Brenztrag. Schwöster,1
"21 Jahre (""34 u 21"")",1
von Torlicken,1
Pastoris Soror,1
baptiz. d. 27. Mertz 1729,1
Witwe des Kaspar Bürchler von Baltenschwil,1
von Lothausen,1
Öügst in der Pfarr Mättmenstetten,1
"""aus der Pfar Mur""",1
"Eltern: Heinrich Wolf, Anna Müller",1
Witwe des alt Ehgaumers Konrad Uster,1
Weibel Heinrich Klötis sel. Tochter,1
Langert,1
"ferre animo invicta maxima damna decet.""",1
bapt. 23. Januarii 1729,1
Riffin,2
Schnider,2
Lähenburen Tocht. uff dem Burghoff by Elgg,1
aus der mittleren Stube zu Kappel,1
Freyin,1
b. 20. Jan. 1764,1
getraut am Samstagabend im Abendgebet,1
Luxen s.,1
Baptiz. den 21. Febr. 1686,1
Melcher Bären Tochter,1
"""v. Wallenburg, Cant. Basel""",1
Räüswyler,1
"""Kilsperger""",1
"""aus dem Thal der Pfarr Hausen""",1
"""Ps. 107:1.""",1
"bapt. 1695, 23. Jun.",1
"ab dem Matthof, beide Pfr. Dusnang""",1
Witwe des Richters Heinrich Schuppisser,1
Baptis. die 3. 8br. 1706,1
Strublin,1
ohne Kranz wegen frühzeitigen Beischlafs,1
Hagenbuchin,7
"""Venerabilis Antistitis Schafh. Filia""",1
"von Birweil, Berner Gebiets",1
Jak. des jüngeren,1
bapt. zu Seegräben 23. März 1668,1
"""bim Seeli à Richtenschw."". ""Zahlt 5 fl."" [Brautgeld].",1
nata den 20. 7bris 1755,1
Witwe des Johannes Egli,1
"Eltern: Kirchmeier Bernhard Lang, Barbara Moser",1
b. 25. Aug. 1768,1
"""aus dem Töbeli der Gemeind Seen""",1
"""J. A. B. Heß""",1
"Mr. Hans Hubers, Glasers, sel. Tochter",1
Bapt. den 9. Junii 1720,1
baptiz. 9ten Aug. 1757,1
"""Sponsa nata et baptiz. 4. 8br. 1739""",1
nata den 7. 10br. 1656.,1
baptiz. den 1. Xbris 1743,1
Sponsa bapt. d. 22. 7bris 1756,1
Sponsa baptiz. d. 27. 8bris 1730,1
Franzen,1
Nata den 29. 9br. 1706,1
Sartoris filia,1
"n. den 14., b. den 15. Nov. 1774",1
"bis nupta 1°. mit Joh. Leemann v°. Töß, 2°. mit Hs. Ulrich Morf von Grafstall den 24. Apr. [1]787, qui ob. 15. Jan. [1]790.",1
J. Margreht Rosenkopf aus dem Marggrafenland,1
uß der Weyd,2
"""aus dem Fahrhoff, der Gemeind Neünforn""",1
"""der Pfr. Kloten""",1
"Kirchmeier ""Vosters"" Tochter",1
baptiz. d. 1709 im Febr.,1
von Rückhen,1
"""v. Under Hallau""",1
Joß Hubers Tochter,2
Willikon der Pfarr Egg,1
nata A°. 1720 den 22. 7br.,1
nat. 10. April 1763,1
nat. 10. April 1762,1
von Büßingen Schaffhauser Gebieths,1
Küeffer Battis Tochter,1
Thysen Tochter,1
"Eltern: Heiunrich Meier, Elisabeth Hauser",1
im Schlößlein,1
nat. den 12ten Julii 1716,1
N. 29. Jan. 1782,1
n. 11. Apr. 1769,1
Eichmüllers sel. Tochter,1
"Sie wurden vom Ehegericht geschieden, dann abeer zusammen erkannt, als sie wieder schwanger wurde.",1
nat. 21. Febr. 1751,1
a. d. Pfr. Bubikon,1
bapt. 9. Jan. 1761,1
"geschieden von Jakob Meier ""wegen ihrseitigem Ehebruch""",1
bapt. den 10. Jenner 1745,1
"Anna ""Nüchem von Sulgen""",1
baptiz. den 12ten 9br. 1765,1
"Frau Esther Kambli, geborene Bühler von Grüningen",1
"""Bapt. 6. Jenn. 1747""",1
b. d. 28sten Jun. 1739,1
Nat. 30. Apr. 1758,1
Die Braut war in Beggingen wohnhaft.,1
"Text: ""Ps. 147.11.""",1
Nuttin,1
NB. gebirt in 16 Wuchen hernach.,1
aus der Laubersrüti,1
nata 21. Xbr. 1715,1
nata d. 1. Aug. 1714,1
b. d. 15. Xbris 1722,1
von Felden,1
Kolerin,15
Baptiz. den 1. Jan. 1713,1
"""Jätzerin""",1
getauft den 4. Aug. 1723,1
b. d. 21. Nov. 1769,1
scortillum,1
von Gerliken auß der Pfarr Gachnang,1
Bapt. d. 5. Jan. 1710,1
uß der Pfarr Matzingen,1
"""ab dem Morschwand, der. Pfr. Horgen""",1
N. 1. Juli 1749,1
bapt. d. 14. Herbstm. 1739,1
Jäkli,1
"""von Rüggis-Altorff""",2
ausm Löli [= Schönau],1
"Nat. 1755, 30. Mart.",1
"Nachtrag: ""Mort. den 4. 9br. 1790.""",1
v. Attlikon,1
B. 12. Julii 1761,1
Wylen der Pfr. Nüfferen,1
Tütsch,1
Bapt. die Jan. 1712,1
Vogt Heiris,1
"""Sponsa bapt. 3. Jul. 1692""",1
Text: Deuter. X. v. 20. a.,2
baptiz. 8. Mart. 1716,1
Witwe des Hans Ruckstuhl,1
Rudolf Bickels Tochter,1
b. d. 25. Apr. 1745,1
N-. 1716,1
"""aus der Waldhalden der Pf. Bauma""",1
by der Tannen in der Pfarr Bäretschwyl,1
Beyde v. Ober Neüforn der Pf. Russikon,1
Syfret,2
Kriegsmans Tochter,1
